,pid,Gesamtbetrag,Basisprämie,Umverteilungsprämie,Greening-Prämie,Erstattung nicht genutzter Mittel der Krisenreserve,Agrarumwelt- und Klimaschutzmaßnahmen,Ökologischer Landbau,Ausgleichszulage benachteiligte Gebiete,Befristete Sonderbeihilfe für Erzeuger der Tierhaltungssektoren,Junglandwirteprämie,Kleinerzeugerregelung
0,0ac7d57e-cada-4449-bb22-f5bbdeb69211,369568,199814.0,51787.0,91121.0,1964.0,,,24882.0,,,
1,0c57fa25-30e4-4168-9664-78462a520bc8,394867,183194.0,47480.0,83774.0,1575.0,43600.0,,35244.0,,,
2,0d96a7af-1dbc-4b13-82a5-770c5312522d,1242357,548624.0,143468.0,252428.0,10245.0,184430.0,,103162.0,,,
3,101ec631-4c12-4826-a15d-354ace7421be,1017822,475436.0,124231.0,218581.0,8508.0,98670.0,,92396.0,,,
4,13d97376-4e6a-4e8e-b3e9-f52d3a714cc4,1135331,581773.0,150046.0,267757.0,11003.0,101550.0,,23202.0,,,
5,1ebce52d-e1f6-45d1-a478-2ff58b32bf8f,824476,410069.0,107051.0,188352.0,6956.0,12950.0,,99098.0,,,
6,2d00235a-8808-4444-8980-20c10a0b00ad,128186,,,,,,,20332.0,,,107854.0
7,2d004a14-aa24-42c7-93c5-0e0ee0884fae,256881,73467.0,19310.0,33975.0,,85100.0,,27808.0,,17221.0,
8,2dad8570-a00a-4f92-9566-efb4c5871b33,3700623,1532286.0,193829.0,707330.0,30736.0,507480.0,,328962.0,400000.0,,
9,2ed16e9b-4f5f-4567-9013-f9bfccb24a1a,364730,192826.0,49976.0,88032.0,1800.0,,,32096.0,,,
10,31745c29-65af-4d09-8b98-502867b46a57,1047034,408766.0,106708.0,187749.0,6925.0,257730.0,,79156.0,,,
11,32beec5e-d369-4c0e-a8e4-2a01a2576df9,138458,,,,,,,29302.0,,,109156.0
12,338b7ed7-acee-4181-b29e-fc5d4d9a5abe,587759,346379.0,90310.0,145807.0,5263.0,,,,,,
13,35bd5e52-5658-4c90-9649-f289eb7f75e0,1104480,229613.0,59620.0,104898.0,2671.0,601140.0,,106538.0,,,
14,367b372f-068d-4906-99ab-dc45fdd32b67,863319,273563.0,71172.0,125223.0,3715.0,273970.0,,115676.0,,,
15,37a1ec56-0fec-4e81-9532-c6291a83529c,323539,107272.0,28196.0,49609.0,,100820.0,,37642.0,,,
16,39267c4e-036b-4e46-a0e6-7fcf181fb887,743577,331667.0,86443.0,152093.0,5094.0,116500.0,,51780.0,,,
17,3a040eee-2735-4c54-a08f-0162c3c39266,2886896,1492246.0,193829.0,688814.0,29930.0,159595.0,,322482.0,,,
18,42a42181-67ab-46de-8438-9eb0efe1ebcd,657471,236132.0,61333.0,107912.0,2826.0,210870.0,,38398.0,,,
19,42e08959-009b-4825-9a4a-1a571ed5cae1,1562823,764463.0,178853.0,352245.0,15076.0,47180.0,,205006.0,,,
20,44f54157-6e3e-4103-9d15-643bff7749bc,692497,124648.0,32552.0,57644.0,600.0,398910.0,,49332.0,,28811.0,
21,47ee48ba-5b92-459a-89f2-3bf6713075f5,2880095,1368590.0,193829.0,631629.0,27441.0,153050.0,,305556.0,200000.0,,
22,49cbd398-5330-437b-9cd3-16e52e3dd5aa,2551889,1379391.0,193829.0,636623.0,27658.0,,,314388.0,,,
23,54f5df60-35a6-4ed7-bed1-6a10e30b7f96,1351610,717905.0,171512.0,320981.0,13904.0,,,127308.0,,,
24,5ed5a772-0590-4825-8f4a-c4dde652d2b1,1081154,288834.0,75185.0,132285.0,4077.0,242550.0,230139.0,108084.0,,,
25,600b8c91-be50-4222-a4d7-a3f3d974baf4,3122170,858136.0,193624.0,395565.0,17165.0,96445.0,1219491.0,341744.0,,,
26,68906642-7067-41d9-8c72-80b25b91c2f6,981408,464821.0,121441.0,213672.0,8256.0,68700.0,,104518.0,,,
27,6c3b9954-21ae-46af-8ede-e265d47ab88c,611852,307271.0,80030.0,140812.0,4515.0,,,79224.0,,,
28,6f665905-8fd0-401a-9a9c-aff54ac1ab65,2367914,1092599.0,193829.0,503994.0,21886.0,230000.0,,325606.0,,,
29,7330c2a2-0273-489a-8a0f-01b517e8b87c,1885664,981048.0,193829.0,452406.0,19641.0,,,238740.0,,,
30,7a456b11-7a25-48b8-9500-b32f4d12f1d8,700591,361649.0,94323.0,165959.0,5806.0,,,72854.0,,,
31,7d97d93c-29b6-49a1-88e7-c06a833f1dfd,2387109,851432.0,192566.0,392464.0,19753.0,,,229466.0,502500.0,198928.0,
32,83ef5346-df15-46c7-9812-a79eecda7a85,3476365,1840867.0,193829.0,850037.0,36946.0,55300.0,,499386.0,,,
33,8da6245e-1279-4f37-af33-5076cf149ed7,445907,242463.0,62997.0,110841.0,2976.0,,,26630.0,,,
34,8dc1f82a-3f3f-4973-b2f7-fbdeb4e342dc,792417,335578.0,87471.0,153903.0,5187.0,127840.0,,82438.0,,,
35,93496867-2cf9-4378-a0be-4dee6c898b4d,705753,339861.0,88596.0,155883.0,5289.0,48200.0,,67924.0,,,
36,979b0400-6b10-403a-8efe-5f15bd29e131,1861578,786625.0,182347.0,362493.0,15570.0,333445.0,,181098.0,,,
37,99b6ab13-3c2f-4084-9f5d-0eafb8b23702,873613,317327.0,82674.0,145462.0,4754.0,223980.0,,99416.0,,,
38,9b777366-4a2f-4e69-ab0c-5b33ba77fd15,538751,229985.0,59717.0,105071.0,2680.0,79680.0,,61618.0,,,
39,9f633ba7-d4ae-4757-8cab-fd879ea032a2,230343,125403.0,32733.0,57994.0,221.0,,,13992.0,,,
40,a1f3e004-e19f-4a1e-af24-3d8e3363ccd8,582708,249912.0,64954.0,114285.0,3153.0,67180.0,,83224.0,,,
41,b0f6605c-78bf-4167-b829-4d8d57865eac,310160,179795.0,46599.0,82271.0,1495.0,,,,,,
42,b12fce50-74df-429f-a34b-d4e6ee4f500a,4091156,2108106.0,193829.0,973624.0,47731.0,,,374986.0,,392880.0,
43,b57621d8-07c0-4653-b541-4b0f6fdace8a,1055735,367981.0,95988.0,168888.0,5956.0,336500.0,,80422.0,,,
44,bfad9ffc-8d61-466d-9d4e-c92089a533ef,929848,461841.0,120658.0,212294.0,8185.0,,,126870.0,,,
45,c1539d5d-ccc3-452e-831d-d73e5a4981bf,909211,344889.0,89919.0,158209.0,5408.0,248910.0,,61876.0,,,
46,c2712467-7acb-4c1b-ac06-ed61a96b00e9,1623228,830016.0,189190.0,382560.0,16538.0,,,204924.0,,,
47,c358d5fa-3b01-44e5-9e4e-281849c33720,1211511,585870.0,150692.0,269653.0,11094.0,21500.0,,172702.0,,,
48,d286cf4b-bcb7-40e0-adf0-622900e453bd,702763,351034.0,91534.0,161051.0,5554.0,,,93590.0,,,
49,d4666648-f82d-4fbb-b883-e6f3e300d6af,256089,148444.0,38473.0,68411.0,761.0,,,,,,
50,d6d67b31-0c04-4f69-86d3-89b763a23c65,652495,332598.0,86687.0,152524.0,5116.0,,,75570.0,,,
51,e6a259a4-f72a-49ce-bc06-52839376c450,1314458,640062.0,159237.0,294714.0,12303.0,28400.0,,179742.0,,,
52,e8cabb7b-643e-44a3-b94b-10489c6071f5,1692894,857392.0,193506.0,395220.0,17148.0,25550.0,,204078.0,,,
53,ee3c3349-0896-48de-acfc-5dec8bc3a850,2650931,1404532.0,193829.0,648250.0,28164.0,185300.0,,190856.0,,,
54,f10405c8-1508-4702-9bbe-081b9eabc775,2447070,1360396.0,193829.0,627839.0,27276.0,,,237730.0,,,
55,f27139db-f3b4-4be3-a229-dedbe6bea25c,4726097,1759113.0,193829.0,812229.0,40707.0,627025.0,,400314.0,500000.0,392880.0,
56,f475ca03-3a75-4b1e-a7c9-6f3baf926997,418688,89520.0,23529.0,41399.0,,222780.0,,41460.0,,,
57,f8351578-706e-47e8-94d6-a2fd3baf805a,1279647,506722.0,132455.0,233050.0,9250.0,268810.0,,129360.0,,,
58,fb085760-e815-4bb0-8f08-a92ee569185d,409404,123703.0,32327.0,57208.0,182.0,166250.0,,29734.0,,,
59,fe8cd54b-8b3b-45d9-bc48-d056ee7e6d44,454262,222909.0,57857.0,101798.0,2512.0,,,69186.0,,,
